FS_method,Classifier,F1_score,Accuracy,Precision,Recall,Best_params
CorrSF,Random Forest,0.5813147315009239,0.6815333912791539,0.5950657696689942,0.6815333912791539,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 300}"
CorrSF,Logistic Regression (L1),0.5001299629768221,0.45663117485151383,0.615231759203138,0.45663117485151383,{'clf__C': 10}
CorrSF,SVM (RBF),0.5554454225791917,0.5498515138345647,0.56430420058902,0.5498515138345647,"{'clf__C': 10, 'clf__gamma': 'scale'}"
Boruta,Random Forest,0.5795576226110941,0.6559647979139505,0.556300465937772,0.6559647979139505,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 300}"
Boruta,Logistic Regression (L1),0.40269353957806786,0.34410763436187164,0.5906762970769492,0.34410763436187164,{'clf__C': 10}
Boruta,SVM (RBF),0.47210704100777934,0.43104447341735475,0.5573489881059103,0.43104447341735475,"{'clf__C': 10, 'clf__gamma': 'scale'}"
RFE-SVM,Random Forest,0.5794246179916602,0.6857706794147471,0.5838367231309404,0.6857706794147471,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
RFE-SVM,Logistic Regression (L1),0.5633324119961975,0.5308561495002173,0.6285179521720234,0.5308561495002173,{'clf__C': 10}
RFE-SVM,SVM (RBF),0.5761481207895641,0.5710379545125308,0.5825891265138966,0.5710379545125308,"{'clf__C': 10, 'clf__gamma': 'scale'}"
L1-LASSO,Random Forest,0.580132162422561,0.6793966391424018,0.5914800887978091,0.6793966391424018,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
L1-LASSO,Logistic Regression (L1),0.5643630509384712,0.5372301897725626,0.6196293820417931,0.5372301897725626,{'clf__C': 10}
L1-LASSO,SVM (RBF),0.5949636088129093,0.6008076198754165,0.5908289954677612,0.6008076198754165,"{'clf__C': 10, 'clf__gamma': 'scale'}"
RF-imp,Random Forest,0.5794602271359902,0.6772779950746053,0.5540796129687066,0.6772779950746053,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
RF-imp,Logistic Regression (L1),0.4909173487429356,0.4522128060263653,0.5726371452865209,0.4522128060263653,{'clf__C': 10}
RF-imp,SVM (RBF),0.5609839057013744,0.5519882659713168,0.5765613953337174,0.5519882659713168,"{'clf__C': 10, 'clf__gamma': 'scale'}"
